open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-12 20:00:00,20779.54000000,21361.57000000,20755.76000000,21259.02000000,31000.59806000,2023-03-12 20:59:59.999,653217020.37396020,640719,16020.34668000,337624676.63588290,0
2023-03-12 21:00:00,21257.96000000,21291.21000000,21136.15000000,21272.40000000,16773.47930000,2023-03-12 21:59:59.999,355530540.35691260,417743,8416.70350000,178411879.11771850,0
2023-03-12 22:00:00,21272.82000000,21903.00000000,21100.69000000,21702.38000000,46708.55635000,2023-03-12 22:59:59.999,1007708204.23368150,908051,23983.62266000,517482651.60007760,0
2023-03-12 23:00:00,21703.97000000,22150.00000000,21602.00000000,21997.11000000,34615.81402000,2023-03-12 23:59:59.999,755998459.00364870,725542,17538.81886000,383079414.96855750,0
2023-03-13 00:00:00,21998.05000000,22600.00000000,21860.74000000,22446.02000000,46825.16252000,2023-03-13 00:59:59.999,1040262621.36260670,930474,23721.46142000,527028272.47752550,0
2023-03-13 01:00:00,22448.97000000,22478.40000000,22250.37000000,22294.10000000,26022.42752000,2023-03-13 01:59:59.999,581525784.90674550,590775,12910.30127000,288516141.79136680,0
2023-03-13 02:00:00,22295.40000000,22356.80000000,22066.40000000,22182.01000000,23006.54739000,2023-03-13 02:59:59.999,511375496.95303800,525900,11266.25034000,250425484.23453580,0
2023-03-13 03:00:00,22182.65000000,22282.40000000,22114.39000000,22231.62000000,15593.27984000,2023-03-13 03:59:59.999,346257986.33182960,390312,7556.19714000,167799106.62547160,0
2023-03-13 04:00:00,22232.76000000,22459.62000000,22222.88000000,22320.07000000,18986.76942000,2023-03-13 04:59:59.999,424296839.98944740,467248,9478.45639000,211821498.12950520,0
2023-03-13 05:00:00,22320.07000000,22402.29000000,22285.30000000,22397.11000000,13248.24338000,2023-03-13 05:59:59.999,296036717.10662660,350995,6787.20254000,151670569.47010550,0
